BODEGA,CODIGO,NEW_MAX
557,0000131554,4
558,0000102898,4
558,08546,9
559,0000132951,2
560,0000119273,4
561,0000100305,4
561,0000103703,4
561,0000114072,4
561,0000118304,4
561,05722,4
562,0000132066,2
562,0000137602,2
563,0000121323,4
565,0000118344,2
565,0000125443,7
565,00589,7
565,15109,2
572,0000138379,4
577,0000116692,2
577,0000129595,2
580,0000134998,2
582,0000128066,2
582,0000131413,2
582,0000140830,9
582,10425,2
589,0000112755,2
589,16664,4
604,0000118168,2
604,0000124848,2
604,08488,4
605,0000124033,2
605,0000128560,2
608,0000115909,4
608,0000116212,4
608,0000128925,4
608,0000133408,2
608,0000139098,2
608,16505,4
614,0000106107,4
614,0000106603,2
624,0000112711,8
624,0000131609,10
629,0000132355,2
629,0000140744,2
632,0000101848,2
632,0000131445,2
632,0000139332,2
632,09073,5
632,15157,3
636,0000118346,2
636,0000135574,4
636,08724,2
640,07166,8
645,0000115285,4
645,0000124374,4
645,0000140267,4
653,0000117152,2
653,0000133822,3
653,06698,2
653,12384,3
670,0000130762,10
670,0000133291,4
670,00070,4
671,0000122185,4
677,0000124238,7
678,05531,4
684,0000100482,2
684,0000102515,4
684,07563,4
696,0000100225,4
696,18806,4
709,0000105160,4
709,0000128947,4
709,0000131136,2
709,00975,2
709,05399,4
709,06143,4
709,10376,2
711,0000128912,8
711,0000135522,2
711,13518,2
713,0000121682,3
713,04104,3
715,15391,4
727,0000100791,2
727,0000104204,7
727,0000132994,4
727,0000137226,4
727,0000137305,4
727,0000137773,4
727,09971,4
728,0000124347,2
728,0000131905,2
728,0000132428,2
728,0000135784,2
728,0000138520,2
728,30523,2
729,0000116827,6
729,0000133822,3
744,12356,8
759,0000122765,7
759,02102,4
762,0000107769,8
762,0000120979,4
762,0000123953,2
762,0000128165,2
762,0000130159,8
762,0000136578,2
762,12457,2
762,13386,2
772,0000128912,8
773,0000122947,2
773,0000123564,2
774,0000129933,2
774,08955,2
775,0000116832,4
777,09380,3
780,07166,7
780,12799,7
781,13660,13
791,0000133584,2
792,0000107359,2
801,29378,11
806,0000116832,5
806,0000135311,5
809,01703,2
809,02346,7
809,04471,6
811,0000130975,2
811,0000131557,2
811,06389,2
818,0000105275,4
818,0000106017,2
818,0000115787,4
818,0000130571,2
818,06234,2
818,10397,4
819,04663,10
820,0000136944,2
820,04740,2
823,0000104220,3
823,0000125103,7
823,0000131653,3
825,0000104104,6
825,0000130157,2
825,0000132721,2
825,0000133929,6
825,0000134405,2
830,0000110872,2
830,0000134650,8
830,0000136276,2
830,0000138144,2
830,0000142148,2
837,0000121513,3
837,0000131974,3
837,0000135505,3
837,0000138194,4
837,0000139012,4
844,12996,4
848,0000122532,2
848,13825,2
848,15851,2
849,01490,4
855,0000120643,2
855,0000129037,2
855,09178,4
855,12585,2
855,13843,4
859,0000121845,2
859,0000127290,2
859,0000132346,4
860,0000134807,4
861,0000121858,2
861,05256,2
861,09499,2
861,12482,3
864,09058,6
869,0000137336,7
869,12356,10
877,0000124308,6
877,0000135011,6
880,0000121312,6
880,0000130762,12
881,0000107769,6
881,0000130762,21
886,0000131583,2
886,08009,25
894,0000122947,2
894,0000134448,2
894,12173,2
926,0000129976,2
926,01784,2
943,0000118388,4
946,0000123547,8
004,05573,4
005,0000131905,4
005,0000135521,4
005,13435,4
008,0000106683,2
008,0000130133,2
008,12057,15
009,0000128589,2
009,0000128707,2
009,0000128954,3
009,0000141630,3
010,0000101880,13
010,01204,11
011,07162,4
013,0000135183,4
013,02211,11
017,0000126647,11
018,09383,4
021,0000127006,4
029,0000110396,2
029,0000114675,2
029,0000130616,2
029,12324,8
033,0000134939,4
034,0000118449,2
034,0000132969,2
036,0000120753,2
037,0000119900,2
038,17615,4
040,0000119673,4
040,0000132361,4
042,0000126793,8
042,07970,8
043,0000133642,4
044,12399,4
048,0000112755,2
048,0000129633,2
050,0000125103,4
051,0000104546,6
051,0000123101,2
051,08673,4
054,02211,10
054,06852,4
056,07458,2
057,16636,4
058,0000130732,5
058,08033,2
058,12505,5
058,24271,5
060,0000126615,2
061,0000130159,2
061,07352,2
064,0000119794,4
065,0000103622,8
065,0000119995,4
065,0000122759,4
065,08876,4
066,07166,9
066,12003,4
066,28870,4
068,11245,4
068,12595,4
069,0000124987,3
075,04985,4
075,09289,4
077,0000123981,8
077,0000128954,4
077,02102,4
079,0000119786,3
079,0000125113,7
080,01413,4
081,0000126340,4
082,0000122741,2
082,0000128780,2
082,0000135011,10
088,12502,5
091,10502,2
1003,0000125136,2
1007,0000120360,2
1007,0000130658,2
1015,0000133051,2
1015,05878,6
1015,06739,2
1019,0000133052,4
1019,05751,4
1020,20144,4
1022,0000100790,4
1022,0000127023,4
1022,00092,8
1024,11975,8
103,0000133804,2
1031,0000116212,4
1032,0000123278,7
1032,05020,4
1037,0000122182,2
1037,01886,2
1037,07021,2
1037,07134,4
1039,0000130655,2
1040,0000135990,2
1042,0000124034,4
1042,0000130850,4
1044,0000122676,4
1044,0000130656,7
1045,0000114468,6
1045,06291,2
1046,0000129650,2
1046,19158,2
1052,04663,5
106,0000111261,4
106,0000116689,4
1065,0000128146,4
1065,12082,4
1070,05379,8
1072,06878,3
109,0000137883,3
109,0000139333,3
109,09909,3
109,10239,9
109,11975,21
109,16733,3
1096,13373,12
110,05951,5
1103,0000122999,2
1103,0000123000,2
1105,05667,6
1105,15163,2
1109,13613,2
1110,01967,2
1113,0000107769,5
1113,0000124308,7
1113,0000127279,6
1119,0000103755,2
1119,13557,4
1119,17461,4
1124,0000126764,2
1124,0000129176,2
1124,0000131998,2
1124,0000137935,2
1126,0000127248,2
1126,0000128613,4
1126,0000131903,2
1126,0000136944,2
1126,09138,2
1127,0000130141,11
1127,0000135521,4
1127,0000136768,4
113,0000125223,4
1131,0000132721,4
